Power,Row,Action,r0,r1,r2,r3,r4,r5,Effect,Tags,Condition,Detail,Major,Minor,Lesser,Lore
Biological Redundancy,Buff,Passive,,,,,,,,,,+5 Max HP,8,,,The Hero’s body develops redundant systems. allowing him to survive damage that would take a normal human out of commission.
Biotoxin,Buff,Passive,1,1,1,2,2,3,DMG per counter,,,"Applied to all unarmed melee strikes  Poisoned Attacks add a Neurotoxin counter if the target loses HP.
On upkeep. poisoned targeted make a CON check:
Pass: Remove Biotoxin counters;
Fail: Take Biotoxin damage for each Biotoxin counter.
",10,,,
Biotoxin,Buff,,7,8,9,15,20,30,DC,,,,,,,
Bound,Ability,Move,0,2,3,4,5,6,Movement Bonus,,,"Movement bonus applies to AGI movement
Can move vertically
",15,N/A,N/A,The hero can bound around the battlefield like a lemur
Breathless,Buff,Passive,,,,,,,,,,"The Hero doesn’t need to breathe. He is immune to asphyxiation. drowning. choking. etc.
The hero still has working lungs and may breathe voluntarily. however. he will not breathe automatically
This makes him effectively immune to airborne effects
",1,,,
Burrow,Ability,Action,2,6,8,10,12,14,Movement,,,"As a PA. the Hero can burrow underground in all but the most unwelcoming terrain. 
Once underground. Burrow provides a PA movement ability which allows him to move in any direction.
",5,,,
Claws,Ability,Flash,,,,,,,,,,"Extend/Retract Claws
Flash
While Claws are extended: Upgrade Melee Dice
If the Hero selects the (Toxic) version. the Hero can select one Toxin. 
Claws deliver the chosen Toxin.
",5,,,
Cleanse,Ability,Action,2,5,10,25,50,75,Range (m),,,"Radial AoE; Hero is the epicenter. All targets in range may make a CON Check + Cleanse CON bonus. 
This check roll may shed Toxin effects.
At r0. Cleanse heals all human (i.e. non-super powered) ailments and poisoning.
",14,10,6,The Hero rids allies of poisons and toxins
Cleanse,Buff,,7,9,10,11,13,17,CON Bonus,,,,,,,
Cocoon,Ability,Channel,,,,,,,,,,"The Hero encloses himself in a cocoon.
Cocoon has 5HP
Until the cocoon is destroyed or the Hero emerges. he is in a deep sleep. unable to see. hear. or act.
After 5 rounds. The Hero emerges. recovering from all HP loss. lost limbs. ailments. and fatigue. but very hungry.
The Hero can prematurely emerge as a Flash
If the cocoon is destroyed before the Hero emerges. he recovers nothing and is knocked down.
",10,,,
Combustion,Power,,,,,,,,,blastoff propulsion,,,30,21,12,The Hero can use fiery blasts to propel himself with explosive movement
Blast-Off!,Ability,Flash,3,5,6,7,8,9,Distance,blastoff,,"May only move in a Straight line. but may move in any direction including vertically.
The Hero must move the full distance of the Blast-Off! action.
If the hero is the victim of a grapple and uses Blast-Off!. he uses the ""Escape Roll"" to make a Check. This acts the same as attempting to escape a grapple as an action.
Grants “Quick Rise”
R0 - Movement
R2 - Flash
R4 - Free
",,,,The Hero triggers an explosion to instantly propel himself in any one direction (including vertically)
Blast-Off!,Buff,,1d20+4,1d20+8,1d20+10,1d20+12,1d20+14,1d20+16,Priority,,,,,,,
Blast-Off!,Buff,,1d6+5,3d6+5,4d6+5,5d6+5,6d6+5,7d6+5,Escape Roll,,,,,,,
Propulsion,Ability,Move,7,9,10,11,12,14,Distance,propulsion,,May only move in a Straight line. but may move in any direction including vertically.,,,,The Hero uses blasts of fire to propel himself around the battlefield
Fly,,Flash,-6,-5,-5,-4,-3,-2,EL Penalty,,,Grants Hover; Can be toggled on & off as a Flash,,,,The Hero channels his explosive power as thrusters. allowing him to hover in place. albeit clumsily.
Store/Maintain Energy,,Action,2,3,4,4,5,6,Meters per Charge,,,"The Hero spends PA to Store/Maintain “movement energy”
Can move vertically.
Cannot exceed Max Charges.The energy dissipates in 1rnd unless the Hero spends another PA to Store/Maintain
Spending PA gains Charges.
",10,7,4,The Hero stores up “movement energy” to expend it in a single burst.
Store/Maintain Energy,,,6,9,12,14,16,20,Max Charges,,,,,,,
Expend Energy,,Flash,,,,,,,,,,"The Hero spends a Flash to expend all “movement energy” 
Grants “Quick Rise” as a Flash. assuming the Hero has movement energy
",,,,
Corrosive Bile,,Action,1,1,2,2,3,5,DS Reduction,,,"Hero launches a liquid corrosive substance with limited range
A successful attack temporarily reduces the target's DS
Effect lasts 1 hour
",4,,,
Drain Life,,Action,1,1d4,1d6,1d6+2,2d6,2d6+3,DMG/Regen,,,"Lay on Hands
Drain Life is a melee action that deals damage and hea
ls the Hero by the same amount.
Drain Life is made on contact with the target. As such. the Hero needs to make a successful ATK roll to touch the target.
Drain Life requires direct contact with the target; however. Clothes/Armor do not prevent draining unless specifically stated.
Only regens HP
(e.g.. does not cure ailments. regrow limbs)
",20,14,8,
Duping,,Channel,,,,,,,,,,"Start-up: 2rnds
Cooldown: 1rnd
Split into 2 exact copies of yourself
All Dupes share experiences and senses
There is no “true” version
The Hero controls all Dupes
Each Dupe maintains the same current:max HP. same powers. status ailments as before the Split.
Additional modifications to one does not affect the others. 
Whenever a Dupe is KO’d. killed. or Banished. the max number of Dupes you can create is reduced by 1. 
This penalty lasts for 1 hour.
Items held by the Hero are duplicated.
Spells. Finite Powers are duplicated.",50,N/A,N/A,The Hero is a big. stupid. idiot. And now there's two of them. 
Merge,,Channel,,,,,,,,,,"Start-up: 1rnd
Cooldown: 1rnd
One Dupe can merge with any other number of Dupes in Melee Range
The remaining Dupe. determined by the player. retains the “best parts” of the merged clones
Highest HP
Fewest. least harmful Status Ailments
etc...
",,,,
Banish,,Action,,,,,,,,,,The Hero Banishes all other Dupes from existence.,,,,
Eagle Eye,,Passive,,,,,,,,,,"The Hero can see twice as far. twice as clearly.
Doubles max shooting range.
+2 ATK
Precludes purchase of Falcon Eye
",10,,,
Elasticity,,Passive,,,,,,,,,,"The Hero is immune to Physical DMG
+5 EL
+10m Reach
The “Reach” numbers denote the number of meters the Hero can stretch his body
Stretching is not limited to the Hero's limbs. e.g.. The Hero can stretch his arms as easily as he can stretch his neck.
Stretching implies a “flattening” of the stretched limb and/or body part. 
",50,N/A,N/A,
Elemental Barrier,,Action,1,3,5,7,9,15,Starting/Max HP,,,"When the Hero declares the Barrier. the Barrier forms at full HP.
The Barrier only blocks elemental damage.
Non-elemental attacks and individuals may pass through the Barrier. unrestricted.
The size listed on the NP represents the size of the Force FIeld
1 = 1 side of a hex
The Force Field can extend to a max height of 10ft
The Hero can choose the exact height.
Any part of the Barrier effectively has 0 EL
Barriers are “shimmery” and. as such. are visible.
If LoS runs through the Barrier. the attack hits the Barrier.
If LoS runs alongside the Barrier. the target is in “Full Cover”. A hit hits the target. a miss hits the Barrier.
",10,7,4,The Hero creates a barrier. preventing elemental damage from passing through
Energy Containment,,Passive,2,4,5,7,10,15,DMG Reduction,,,"DS applies to Physical & Elemental damage only.
Energy Containment is always active. even when sleeping or KO’d
Purchasing this power grants one free Output Power. 
The other Output powers may be purchased a la carte.
If the Hero attains his Max MC limit. his is considered “Fully Charged”
Damage is not reduced while fully charged.  Ie the hero eats all damage while fully charged.
The Hero can release any amount of Stored Energy as a Flash. This energy does not deal damage not cause any effect. 
All stored energy is released upon KO
The Energy dissipates after 1 hour 
",50,35,20,The Hero absorbs incoming damage and converts it into usable energy
Energy Containment,,,10,20,24,30,45,75,Max MC,,,,,,,
Energy Blast,,Action,,,,,,,,,,"Damage is based on MC spent on this action.
1 MC = 1pt of damage
MC spent on action must be declared prior to ATK Roll.
",8,N/A,N/A,
Energy Punch,,Flash,,,,,,,,,,"Bonus Damage is based on MC spent on this action and normal Melee attack damage.
2 MC = 1pt of DMG
Attack deals KBF equal to DMG
KBE is Knockback.
MC spent on action must be declared prior to ATK Roll. 
",10,N/A,N/A,
Energy Move,,Move,,,,,,,,,,"Distance moved is based upon MC spent on this action.
1 MC = 1m
MC spent on action must be declared prior to Priority Roll.
Grants [Quick Rise]
R0 - Movement Action
R3 - Flash
Requires 1 MC. 
",5,N/A,N/A,
Exoskeleton Armor,,Action,2,4,5,7,10,15,DS,,,"Upgrade unarmed Melee attacks when active
Deactivates upon KO
Stealth Penalty when active
DS applies to Physical & Elemental damage only
Action to activate/deactivate
",50,35,20,The Hero encases himself in exoskeleton armor.
Exoskeleton Armor,,,10,15,20,25,30,40,KBR Bonus,,,,,,,
Extra-Flexible Joints,,Passive,,,,,,,,,,"‘+2 EL 
The effect is removed once the Hero takes damage.
The effect recovers after one hour.
",8,,,
Falcon Eye,,Passive,,,,,,,,,,"The Hero can see twice as far. twice as clearly.
Doubles max shooting range.
+5 ATK
Precludes purchase of Eagle Eye
",20,,,
Fast Regeneration,,Passive,,,,,,,,,,"The Hero recovers HP quickly.
If the Hero goes 10 minutes without taking damage. he begins rapidly healing. reaching full HP 5 minutes later.
Does not cure ailments
Does not regrow limbs
Recovers from human ailments at a fraction of the time 
",8,,,
Fire Imbue,,Flash,1,2,3,4,5,8,DMG (E),,,"The Hero imbues an object (e.g.. Weapons. his fist) with fire. adding fire damage to attacks made with the imbued weapon.
The Imbued object does not take damage from the fire.
Size Limitation: The Imbued Object may not exceed the Hero’s swing limit.  Any weapon held by the Hero. or the Hero's own unarmed melee limbs. may be enhanced with fire at the Hero's discretion
The listed damage is added to the damage of the attack
",10,7,4,The Hero ignites objects. adding Elemental DMG to his attacks
Fire Regeneration,,Passive,1,2,3,4,5,8,Regeneration,,,"When the Hero is in a high temperature environment (120f degree or higher). the Hero regenerates HP on Upkeep
Regeneration is restricted to HP only (e.g.. does not regenerate limbs. recover from status effects).
",8,,,The Hero regenerates when in a high temperature environment
Firewall,,Action,1,2,4,6,8,12,Hexes Aflame,,,"Firewall blocks LoS and deals damage.
The firewall runs in a straight line.
Firewall extends 3m high. blocking LoS
Targets take damage:
If in an aflame hex when the power effectuates;
Enters an aflame hex;
Ends their turn on an aflame hex
The aflame hex (e.g the ground or floor) does not take damage.
",20,14,8,The Hero creates a wall of fire on the battlefield
Firewall,,,0,1,2,3,4,6,DMG (E),,,,,,,
Fish-like,,Passive,,,,,,,,,,"The Hero can breathe underwater;
AGI movement doubled while in the water
Resistant to high pressure underwater
Can pee and poo in the pool unnoticed.
",5,,,
Flare,,Action,,,,,,,,,,"Radial AoE; Hero is the epicenter; When a Hero performs the Flare action everyone in range must make an AGI Check
The GM may determine that teammates must make this check - for instance if the Hero is being grappled and unable to signal. or if the Hero is using Flare as a surprise attack
Range: 5m
DC: 10
Pass: No Effect
Fail: Target is Blind for 1rnd
",20,N/A,N/A,Hero shines a bright light in all directions. blinding everyone who isn't quick enough to cover their eyes
Flight,,Move,6,8,9,10,11,12,Distance,,,"Using Flight puts you in a Hovering state
Flight’s movement can be done in any direction. including vertically.
Grants “Quick Rise”
R0 - Movement
R2 - Flash
R4 - Free
AGI or CON Check",45,32,18,The Hero can fly. thereby moving in any direction (including vertically).
Fly,,Flash,-2,2,4,6,8,10,EL Modifer,,,"When Hovering. the Hero is not affected by gravity and does not fall
Hover is deactivated upon KO.
",,,,"While toggled on. the Hero naturally hovers slightly above the ground (less than 1 meter) 
If the Hero is further above the ground. he will fall at a safe speed until he is 1 meter above the ground
The hero may act unimpeded while hovering
Hover grants a new movement ability. allowing the hero to move a distance of 2m.
Alternatively. the Hero may use other movement abilities that do not require contact with the ground
"
Barrier & Bubble,,,,,,,,,,,,,30,21,12,
Barrier,,Channel,1,3,5,7,9,15,Starting/Max HP,,,"Start-up: None
Cooldown: 1 Round
When the Hero declares Barrier:
The Barrier forms at full HP
During Upkeep. if the Barrier is damaged. it will heal according to the Heal number
Follows normal Concentration rules.
Whenever the Barrier ceases (either at the Hero’s choice. upon failing Concentration. or when the HP hits 0HP). it triggers Cooldown
The Size attribute represents the number of 'hex-sides' (1-meter walls) the Forcefield is when created
The Force Field can extend to a max height of 3m
The Hero can choose the exact height.
When targeted. the force field has 0 EL 
The Force Field provides full cover
Force Fields are transparent but visible. like tinted glass.
The Barrier restricts everything from coming inside or out. including teleporters from traveling through the barrier.
",10,7,4,The hero channels to maintain an ongoing barrier. preventing all attacks and objects from penetrating.
Barrier,,,0,1,1,2,3,5,Heal,,,,,,,
Barrier,,,2,4,6,8,10,15,Size,,,,,,,
Bubble,,Flash,1,2,3,4,5,8,HP Shield,,,"The Hero selects the epicenter of the Bubble.
The Bubble extends to a height of 3m
The Hero chooses the exact height.
The Bubble encapsulates the entire affected area. Any attack that passes through the area with a priority lower than the Bubble hit the Bubble. 
",25,18,10,The hero briefly and temporarily creates an energy force field. typically to protect against a single attack
Bubble,,,Single Hex,1,1,1,2,3,Radius,,,,,,,
Bubble,,,2d8+5,2d10+7,2d12+7,2d12+10,2d12+12,2d12+15,Priority,,,,,,,
Glider,,Passive,,,,,,,,,,"The Hero is capable of gliding in the air.
On upkeep. the Hero drops 1m
The Hero cannot fly upwards
Movement: 5m
",5,N/A,N/A,
Hardscales,,Passive,,,,,,,,,,"Scales provide +3 DS bonus
DS is removed when the Hero is below 50% HP
",7,,,The Hero has scales. which will fall off when the Hero takes significant damage
Hop,,Flash,,,,,,,,,,"EL +2 
Movement: 3m
",8,N/A,N/A,The hero can hop like a frog at the blink of an eye
Hover,,Passive,,,,,,,,,,"While toggled on. the Hero naturally hovers slightly above the ground (less than 1 meter) 
If the Hero is further above the ground. he will fall at a safe speed until he is 1 meter above the ground
The hero may act unimpeded while hovering
Hover grants a new movement ability. allowing the hero to move a distance of 2m.
",5,,,
Hydro Health Boost,,Passive,4,6,8,10,12,20,Max HP Increase,,,"Triggers whenever the Hero is in a body of water or within a rainstorm
Tempest included
Max HP increased
Max HP is decreased as soon as the hero leaves the water
Current HP is raised/lowered at same time as max
",5,,,The Hero’s health increases while in a body of water or within a rainstorm.
Hypervigilance,,,,,,,,,,,,"Immune to Surprise Attacks
Bonus to Perception Checks
",5,,,
Immortality,,Passive,,,,,,,,,,"The Hero cannot permanently die.
Should the Hero die he will regain 1HP and consciousness after a Short Rest.
Should the Hero die and his body is seriously dismembers or disintegrated he will require a Long Rest before regaining 1HP and consciousness.
",8,,,
Increase Velocity,,Flash,1,2,3,4,7,10,DMG (P),,,"Only applies to physical objects
DMG Buff is considered Physical DMG
",25,18,10,The Hero increases the velocity of a physical object. affecting it’s DMG and ATK
Increase Velocity,,,0,1,2,3,4,6,ATK,,,,,,,
Invisibility,,Action,,,,,,,,,,"Hero can act unrestricted while invisible.
Turning Invisible breaks LoS 
Invisibility deactivates upon KO.
Items worn/held by the Hero can be rendered invisible.
Common Sense here: A Hero can turn all his clothes and weapons invisible. but he can’t turn his car invisible. Items rendered invisible must be equal to or less than the Hero's size.
Items require an additional PA to turn invisible.
Unable to render another living thing invisible.
Action to activate/deactivate
",50,N/A,N/A,The Hero can render himself invisible.
Invulnerability,,Passive,2,4,5,7,10,15,DS,,,"Invulnerability is always active. even when sleeping. KO'd. or dead
DS applies to Physical. Elemental. and Toxic damage. 
",50,35,20,The Hero is (practically) invulnerable to damage. 
KBR Power,,Passive,2,4,6,8,10,15,Size,,,Passive,8,,,
Kinetic Bounce,,Passive,,,,,,,,,,"Upon taking damage. the Hero “bounces” outside of melee range.
Works on all damage types.
The Hero is not required to “bounce” after every attack; however. the DS only activates when the Hero bounces a minimum of 1 hex.
Max Movement: 3m
DS 1
",5,N/A,N/A,
Kinetic Explosion,,Action,1d4,1d6,1d6+2,2d6,2d6+3,3d6+5,Explosion DMG,,,"Any physical. nonorganic object can be infused with energy
When the affected object makes contact with another object (other than the Hero). the object explodes
If the affected object is successfully thrown at a target. the target takes the throwing damage first. followed by the exploding damage
If the Kinetic Explosion damage exceeds the objects HP. the object is destroyed. 
Explosion damage is Physical
",25,18,10,The Hero infuses an object with unstable energy. The next time the object makes contact with anything (other than the Hero). the object explodes!
Kinetic Explosion,,,Single Hex,Single Hex,Single Hex,1m,1m,2m,Explosion Radius,,,,,,,
Knuckle-Walker,,Move,0,2,3,4,5,6,Movement Bonus,,,"Movement bonus applies to AGI movement
The Hero runs on four limbs
The Hero can freely travel over / climb objects 2 meters or shorter
",10,N/A,N/A,
Lie Detector,,Passive,,,,,,,,,,The hero instantly knows if someone is lying.,2,,,
Limb Regeneration,,Passive,,,,,,,,,,"Lost/Destroyed Limbs regenerate in one hour.
Injured Limbs regenerate in 10 minutes.
",3,,,
Limited Invisibility,,Action,,,,,,,,,,"As a PA. the Hero can turn invisible.
The Hero remains invisible so long as he remains perfectly still.
Using any action. flash. move. or taking damage deactivates the Invisibility.
",10,,,
Lizard Walk,,Passive,,,,,,,,,,"Hero can move on all fours as easily as two legs.
Hero maintains full EL and movement abilities while DOWNED.
",2,,,
Long Limbs,,Passive,,,,,,,,,,"Melee range increased by 1m
New grapple available (Wrap)
Hero cannot pass for a human without a disguise of sorts
",8,,,
Grapple Wrap,,Action,,,,,,,,,,"ATK +2
Crushing damage (d4 Str Mod) when maintaining hold",,,,
Medic!,,Action,1d4,1d4+1,2d4+1,2d6+2,3d6+5,4d4+10,Regen HP,,,"The Hero can heal himself or others on touch.
The Hero must make contact with whomever he is healing.
Clothes/Armor do not prevent Healing. unless specifically stated. 
If the target is at full HP. he can heal a missing limb over a Long Rest",45,32,18,The Hero can regenerate. healing old wounds for himself and others.
Morph,,Channel,,,,,,,,,,"Start-up: 2rnd
Cooldown: None
The Hero can alter his appearance. including clothing. and voice.
The Hero can alter his height by +/- 2ft and weight by +/- 100lbs.
Morph does not alter the Hero’s memories nor mannerisms. As such. morph does not prevent individuals from becoming suspicious of the Hero if he is acting unusual or out of character. 
The Hero reverts to his original appearance on KO. Death. or if Sap removes the power.
",15,N/A,N/A,
Never Tire,,Passive,,,,,,,,,,The Hero never tires and does not need to sleep,1,,,
Night Vision,,Passive,,,,,,,,,,Can see in the dark as if it were the ideal light,3,,,
Passive Healing,,Passive,1d4,1d4+1,2d4+1,2d6+2,3d6+5,4d4+10,Regen HP,,,"The Hero heals HP every upkeep
Regeneration occurs as long as the Hero is alive.
If the Hero is at full HP. he can heal a missing limb over a Long Rest
Regeneration cannot bring the Hero back from the dead.
Healing does not grant the hero any special immunity nor resistance to poisons or toxins
",50,35,20,The Hero regenerates his wounds automatically.
Phaseshift,,Action,,,,,,,,,,"When Phased. the Hero is in a parallel existence
This parallel existence may be a realm. dimension. plane or otherwise. The Hero & GM should decide upon this at creation. 
Items worn/held by the Hero can be Phased/Unphased.
Items Phased must be equal to or less than the Hero's size.
Items require an additional Action to Phase.
Unable to render another living thing invisible.
While in the parallel existence:
The Hero can observe and communicate with the normal existence.
The Hero is unable to otherwise interact with the normal existence and cannot be acted upon.
Example: While Phased. the Hero can talk with his team but he cannot punch a target. Moreover. if the Hero is the target of an attack from the normal existence the attack will pass through the Hero.
The Hero is unaffected by gravity.
The Hero can Fly with a movement of 5m.
Should there be another object or target within the parallel existence. the Phased Hero would interact with them as usual.
Example: If there is a key in the parallel existence. the Hero may Phase. pick up the key. and unphase. bringing the key into the normal existence. Furthermore. if the Hero encounters a being in the parallel existence. they may attack and deal damage to each other. 
The Hero Phased is indistinguible from the Hero Unphased.
",36,N/A,N/A,The Hero can Phase
Phaseshit,,Action,,,,,,,,,,"When Phased. the Hero is in a parallel existence
This parallel existence may be a realm. dimension. plane or otherwise. The Hero & GM should decide upon this at creation. 
Items worn/held by the Hero can be Phased/Unphased.
Items Phased must be equal to or less than the Hero's size.
Items require an additional Action to Phase.
Unable to render another living thing invisible.
While in the parallel existence:
The Hero can observe and communicate with the normal existence.
The Hero is unable to otherwise interact with the normal existence and cannot be acted upon.
Example: While Phased. the Hero can talk with his team but he cannot punch a target. Moreover. if the Hero is the target of an attack from the normal existence the attack will pass through the Hero.
The Hero is unaffected by gravity.
The Hero can Fly with a movement of 5m.
Should there be another object or target within the parallel existence. the Phased Hero would interact with them as usual.
Example: If there is a key in the parallel existence. the Hero may Phase. pick up the key. and unphase. bringing the key into the normal existence. Furthermore. if the Hero encounters a being in the parallel existence. they may attack and deal damage to each other. 
The Hero is noticeably different when Phased.
GM and Player should determine this effect at creation. 
Example: When Phased. the Hero emits a buzzing noise; the Hero’s appearance has a static distortion effect; the Hero glows brightly.
",30,N/A,N/A,The Hero can Phase
Power Lock,,Passive,,,,,,,,,,The Hero is immune to the effects of Sap,5,,,
Prehensile Tongue,,Action,,,,,,,,,,"Grants special Tongue action
Action
Attack deals Crushing Damage
STR Mod d4
Successful hit can either perform Desperate Grab grapple. or Disarm the target
When extended. tongue can be used as a limb
",5,,,
Pufferfish,,Action,,,,,,,,,,"PA to expand and contract.
While expanded. Hero has 0 EL. appears inhuman. and acts as full cover from all directions. He expands to about twice the size. but more round shaped
",8,,,
Quills,,Passive,,,,,,,,,,"Hero cannot pass for a human without a disguise of sorts
Physical contact with the Hero causes 1d4 pts of piercing damage. This includes Melee attacks against the hero and the Hero's melee attacks.
Hero rolls for damage.
If Quills deals damage. any selected toxin or poison is applied. 
",8,,,
Ricochet Run,,Move,3,4,5,5,6,7,Movement Bonus,,,"The Hero moves by bouncing off of objects.
The “Distance” number is a buff to the Hero’s normal AGI Movement number.
The “Bounce” number references the total number of bounces the Hero is capable of per Movement Action.
The Hero does not need to “bounce” to initiate the movement. 
Barreling & Crashing Mechanics do not apply to movement done via Ricochet Run; however. the Hero makes physical contact with the objects he bounces off from. so damage from Quills or other such powers still applies.
",12,8,5,The Hero bounces off of objects. propelling himself.
Ricochet Run,,,2,3,3,4,5,6,Bounces,,,,,,,
Rock Armor,,Action,,,,,,,,,,"Immunity to Elemental DMG & Elemental Effects
Grants Breathless
+5 DS
+15 KBR 
The Hero can choose to activate Rock Weapon and Rock Armor simultaneously. or restrict the activation to one ability.
Deactivates upon KO
",35,N/A,N/A,
Rockweapon,,Action,,,,,,,,,,"The Hero can turn his limbs into a weapon of any size.
Note: If the Hero could not wield a LG weapon. he will not be able to lift his arm if he turns it into a LG weapon.
The Hero can elect to have both limbs different weapons; the Hero can also elect to only transform one limb.
While activated. the transformed limb cannot pass for a normal human
Transformed limbs cannot be used for movement
Action to activate/deactivate
",18,N/A,N/A,The Hero encases his limbs with weapons...made of rocks!
Quicksand & Sandstorm,,,,,,,,,,,,,20,14,8,The Hero can create and manipulate sand.
Quicksand,,Action,1,2,3,4,7,12,Max Quicksand Hexes,,,"Affected hexes are affected with Quicksand.
Anyone standing in an affected hex is Immobile
If a target touches the ground while passing through a quicksand hex. he must make an AGI check. DC defined by rank
Pass: Target continues as normal
Fail: Target is trapped in quicksand. All movement ends. 
If a target is trapped in Quicksand:
Target is immobile
Target may spend his Action to attempt to escape the quicksand. Roll an AGI check same as above
See: Stealth Doc to determine who can notice affected hexes.
If someone is trapped in the quicksand. the quicksand is visible
Hero chooses affected hexes (up to the # specified by rank. in any cohesive formation) ",10,7,4,The Hero turns the ground into quicksand. immobilizing anyone who attempts to pass through!
Quicksand,,,8,11,13,15,20,30,DC to escape,,,,,,,
Sandstorm,,Flash,2,4,5,6,7,10,ATK Penalty,,,"Those inside the storm take Physical damage on upkeep.
The Hero is immune to the damage of his own storm.
Allies are not immune.
Attacking through the storm causes an ATK penalty.
This penalty does not apply when inside the storm and attacking a target also inside the storm. 
The Hero determines the size of the storm. not to exceed max radius.
See: Stealth Doc for visibility details
Flash to activate/deactivate
",15,11,6,The Hero creates a sandstorm. limiting visibility and dealing damage to those caught in the storm.
Sandstorm,,,-,-,1,2,2,3,DMG (s),,,,,,,
Sandstorm,,,1,1,2,2,3,5,Radius,,,,,,,
Sap,,Passive,,,,,,,,,,"Sap allows the Hero to Absorb and Negate a power from a Target.
The Absorbed and Negated power is defined as the Sapped power.
The Sapped power is the target’s most costly SP power.
The Hero may only have one Sapped power at a time.
The Hero may shed an existing Sapped power as a free action. instantly.
Clothes/Armor do not provide protection against the effects of Sap unless specifically stated. 
Power Lock grants immunity from the effects of Sap.
",45,N/A,N/A,The Hero can Sap shit
Physical Contact,,,,,,,,,,,,"Whenever the Hero makes Physical Contact with a target. he may Absorb a power.
The Sapped power is at r1.
The effects of Sap last 1 hour.
",,,,
Maintained Physical Contact,,,,,,,,,,,,"Whenever the Hero maintains Physical Contact with a target for 2 rounds. the Hero Absorbs the power and negates the power from the target.
The Sapped power is at r1.
The effects of Sap last 1 hour.
This includes the Negate ability of Sap. regardless of the Hero shedding the Sapped power. 
",,,,
Seeds,,,,,,,,,,,,,30,TBD,TBD,
Create Seed,,Action,,,,,,,,,,"The Hero creates a seed of a specific tree. The seed is created instantly but the Hero must have a Short Rest before creating another seed. 
The seed must be planted within 1 hour of creation or it dies. 
Seed must be planted in ground that would support plant life. This may include a Hex that has been modified with Wild Growth.
Seed has 1HP with a CS modifier of -20
",,,,
Plant Seed,,Action,,,,,,,,,,"The Hero plants the seed. The seed must be planted in ground that would normally support plant life or a Wild Growth hex.
The tree sprouts the following round.
The tree lasts 24hours or until destroyed.
",,,,
Fruit Tree,,,,,,,,,,,,"Occupies an entire Hex
10HP
Grows 3m high. with fruit branching out 3m
Grows 1 fruit per round
Eating a fruit regens 5HP and offers a free CON check w/a +5 Bonus
Fruit has 2HP & -5CS Mod. 
It is considered a Tiny object
The fruit will rot and lose all benefits after 1 hour of being picked.
Hero can pick & eat a fruit as a single Action.
",,,,
Oak Tree,,,,,,,,,,,,"Occupies an entire Hex
Starts 3m tall
10HP
Provides Full Cover
Each subsequent round. on Hero’s turn. Oak Tree grows 3m taller and gains 5HP. 
Should the tree’s growth become obstructed it does not grow nor gain 5HP. 
Instead. the tree and the object both take 1pt of Physical Damage until one of them is destroyed. 
",,,,
